Channel,UserCardBIN,Approved,Fraud,TransactionDate,FraudDetectionDate,Segment
ATM50,473692,1,0,4/27/2026 0:00,4/27/2026 15:36,1.0
ATM50,403153,1,0,4/27/2026 0:03,4/27/2026 16:39,3.0
ATM50,403153,1,0,4/27/2026 0:06,4/27/2026 16:36,2.0
ATM50,440383,1,0,4/27/2026 0:07,4/27/2026 15:36,1.0
ATM50,429465,1,0,4/27/2026 0:20,4/27/2026 15:36,1.0
ATM50,436608,1,0,4/27/2026 0:24,4/27/2026 16:36,1.0
ATM50,452540,1,0,4/27/2026 0:26,4/27/2026 15:37,2.0
ATM50,443254,1,0,4/27/2026 0:32,4/27/2026 15:37,1.0
ATM50,403153,1,0,4/27/2026 0:36,4/27/2026 15:32,1.0
ATM50,403153,1,0,4/27/2026 0:42,4/27/2026 16:36,2.0
ATM50,426674,1,0,4/27/2026 0:57,4/27/2026 15:32,1.0
ATM50,403153,1,0,4/27/2026 1:05,4/27/2026 15:32,1.0
ATM50,414708,1,0,4/27/2026 1:15,4/27/2026 15:32,1.0
ATM50,414708,1,0,4/27/2026 1:19,4/27/2026 15:32,1.0
ATM50,484472,1,0,4/27/2026 1:21,4/27/2026 15:32,3.0
ATM50,414708,1,0,4/27/2026 1:28,4/27/2026 15:32,1.0
ATM50,484472,1,0,4/27/2026 1:28,4/27/2026 15:32,3.0
ATM50,484472,1,0,4/27/2026 1:38,4/27/2026 15:33,3.0
ATM50,434246,1,0,4/27/2026 1:40,4/27/2026 15:33,1.0
ATM50,403774,1,0,4/27/2026 1:44,4/27/2026 15:33,1.0
ATM50,403153,1,0,4/27/2026 1:49,4/27/2026 15:33,1.0
ATM50,440383,1,0,4/27/2026 2:01,4/27/2026 15:33,1.0
ATM50,403153,1,0,4/27/2026 2:02,4/27/2026 16:36,3.0
ATM50,434248,1,0,4/27/2026 2:06,4/27/2026 15:33,1.0
ATM50,403153,1,0,4/27/2026 2:07,4/27/2026 15:33,3.0
ATM50,403153,1,0,4/27/2026 2:12,4/27/2026 15:33,3.0
ATM50,403153,1,0,4/27/2026 2:54,4/27/2026 16:39,2.0
ATM50,414710,1,0,4/27/2026 3:02,4/27/2026 15:33,1.0
ATM50,465046,1,0,4/27/2026 3:07,4/27/2026 16:40,1.0
ATM50,402338,1,0,4/27/2026 3:18,4/27/2026 15:33,1.0
ATM50,434246,1,0,4/27/2026 3:20,4/27/2026 16:40,2.0
ATM50,403153,1,0,4/27/2026 3:20,4/27/2026 15:33,1.0
ATM50,435826,1,0,4/27/2026 4:09,4/27/2026 15:34,3.0
ATM50,403153,1,0,4/27/2026 4:09,4/27/2026 15:34,1.0
ATM50,403153,1,0,4/27/2026 4:02,4/27/2026 15:34,3.0
ATM50,403153,1,0,4/27/2026 4:00,4/27/2026 15:34,1.0
ATM50,403153,1,0,4/27/2026 3:49,4/27/2026 15:34,1.0
ATM50,400012,1,0,4/27/2026 4:32,4/27/2026 15:49,2.0
ATM50,403153,1,0,4/27/2026 4:24,4/27/2026 15:34,1.0
ATM50,403153,1,0,4/27/2026 5:02,4/27/2026 16:36,1.0
ATM50,481100,1,0,4/27/2026 5:11,4/27/2026 16:37,1.0
ATM50,481100,1,0,4/27/2026 5:14,4/27/2026 16:37,1.0
ATM50,440383,1,0,4/27/2026 5:21,4/27/2026 15:49,1.0
ATM50,440383,1,0,4/27/2026 5:51,4/27/2026 15:49,1.0
ATM50,481100,1,0,4/27/2026 5:57,4/27/2026 16:37,1.0
ATM50,463523,1,0,4/27/2026 6:03,4/27/2026 16:37,2.0
ATM50,481100,1,0,4/27/2026 6:13,4/27/2026 16:37,1.0
ATM50,403153,1,0,4/27/2026 6:18,4/27/2026 15:49,1.0
ATM50,403153,1,0,4/27/2026 6:27,4/27/2026 16:37,1.0
ATM50,403153,1,0,4/27/2026 6:38,4/27/2026 16:37,2.0
ATM50,483304,1,0,4/27/2026 7:04,4/27/2026 15:49,1.0
ATM50,413027,1,0,4/27/2026 7:09,4/27/2026 15:46,2.0
ATM50,403153,1,0,4/27/2026 7:17,4/27/2026 16:37,1.0
ATM50,403153,1,0,4/27/2026 7:28,4/27/2026 15:46,2.0
ATM50,440383,1,0,4/27/2026 7:34,4/27/2026 15:46,1.0
ATM50,440383,1,0,4/27/2026 7:47,4/27/2026 15:46,1.0
ATM50,473692,1,0,4/27/2026 7:51,4/27/2026 16:37,1.0
ATM50,414708,1,0,4/27/2026 8:03,4/27/2026 15:46,1.0
ATM50,414708,1,0,4/27/2026 8:09,4/27/2026 15:46,1.0
ATM50,403153,1,0,4/27/2026 8:12,4/27/2026 16:38,2.0
ATM50,443254,1,0,4/27/2026 8:18,4/27/2026 15:46,1.0
ATM50,403153,1,0,4/27/2026 8:54,4/27/2026 16:40,2.0
ATM50,414708,1,0,4/27/2026 9:07,4/27/2026 15:46,1.0
ATM50,443047,1,0,4/27/2026 9:17,4/27/2026 16:40,1.0
ATM50,403153,1,0,4/27/2026 9:17,4/27/2026 15:47,1.0
ATM50,426674,1,0,4/27/2026 9:21,4/27/2026 15:47,1.0
ATM50,403153,1,0,4/27/2026 9:46,4/27/2026 15:47,3.0
ATM50,474466,1,0,4/27/2026 10:02,4/27/2026 15:47,1.0
ATM50,434247,1,0,4/27/2026 10:03,4/27/2026 15:47,1.0
ATM50,403153,1,0,4/27/2026 10:16,4/27/2026 15:47,1.0
ATM50,414710,1,0,4/27/2026 10:17,4/27/2026 15:47,2.0
ATM50,403153,1,0,4/27/2026 10:21,4/27/2026 15:47,2.0
ATM50,484472,1,0,4/27/2026 10:25,4/27/2026 15:47,3.0
ATM50,403153,1,0,4/27/2026 10:27,4/27/2026 16:38,3.0
ATM50,414708,1,0,4/27/2026 10:56,4/27/2026 15:47,1.0
ATM50,403153,1,0,4/27/2026 10:58,4/27/2026 16:38,3.0
ATM50,411760,1,0,4/27/2026 11:01,4/27/2026 16:40,1.0
ATM50,413027,1,0,4/27/2026 11:05,4/27/2026 15:48,1.0
ATM50,403153,1,0,4/27/2026 11:10,4/27/2026 16:38,2.0
ATM50,434759,1,0,4/27/2026 11:43,4/27/2026 16:38,2.0
ATM50,443254,1,0,4/27/2026 11:42,4/27/2026 15:48,2.0
ATM50,403153,1,0,4/27/2026 11:36,4/27/2026 16:38,3.0
ATM50,403153,1,0,4/27/2026 11:33,4/27/2026 16:38,3.0
ATM50,440056,1,0,4/27/2026 11:26,4/27/2026 15:48,3.0
ATM50,403153,1,0,4/27/2026 11:26,4/27/2026 16:38,3.0
ATM50,414710,1,0,4/27/2026 11:49,4/27/2026 15:48,1.0
ATM50,486786,1,0,4/27/2026 12:00,4/27/2026 16:38,1.0
ATM50,403153,1,0,4/27/2026 12:03,4/27/2026 15:48,3.0
ATM50,403153,1,0,4/27/2026 12:05,4/27/2026 15:48,3.0
ATM50,403153,1,0,4/27/2026 12:05,4/27/2026 15:48,2.0
ATM50,403153,1,0,4/27/2026 12:09,4/27/2026 16:40,3.0
ATM50,403985,1,0,4/27/2026 12:10,4/27/2026 16:39,2.0
ATM50,486786,1,0,4/27/2026 12:13,4/27/2026 16:39,1.0
ATM50,413027,1,0,4/27/2026 12:16,4/27/2026 16:40,1.0
