Channel,concern_edges,concern_rows,y,marker_size
BEST46,12,5755,102,28.0
SKYDOOR29,8,5496,91,27.17457507082153
SKYDOOR19,6,2296,92,16.97627478753541
SKYDOOR28,9,2228,89,16.75956090651558
CCCOIN13,6,1985,70,15.985127478753542
BEST45,9,1959,79,15.902266288951841
DRIVE779,9,1936,58,15.828966005665722
PURPLE3,5,1666,85,14.968484419263456
PEACH6,5,1644,48,14.898371104815864
DRIVE547,5,1416,20,14.171742209631727
PURPLE2,6,1353,23,13.970963172804533
PEACH1,3,1206,80,13.502478753541077
SKYDOOR16,3,1175,51,13.403682719546742
BATTLE5,3,1124,30,13.24114730878187
PEACH9,4,1059,40,13.03399433427762
DRIVE771,4,1046,47,12.99256373937677
DRIVE726,4,1035,87,12.957507082152976
PURPLE1,6,974,65,12.763101983002834
SKYDOOR18,3,973,103,12.759915014164307
DRIVE537,4,937,41,12.645184135977336
BATTLE2,5,917,35,12.581444759206798
DRIVE712,2,890,68,12.495396600566572
DRIVE205,3,819,59,12.269121813031163
DRIVE765,2,797,24,12.19900849858357
DRIVE710,3,784,93,12.15757790368272
DRIVE739,3,770,94,12.112960339943342
DRIVE632,3,740,76,12.017351274787536
DRIVE763,2,714,9,11.934490084985836
ORANGE31,4,662,36,11.768767705382437
SKYDOOR52,2,614,67,11.615793201133144
PEACH7,4,611,83,11.606232294617563
BATTLE3,3,602,64,11.577549575070822
DRIVE772,3,599,78,11.567988668555241
DRIVE728,3,586,90,11.52655807365439
SKYDOOR49,3,563,72,11.453257790368273
PURPLE,3,542,12,11.386331444759207
QUEEN6,1,534,74,11.36083569405099
SILVER1,1,533,52,11.357648725212464
QUEEN11,2,525,98,11.332152974504249
DRIVE658,4,501,31,11.255665722379604
SILVER10,1,490,99,11.220609065155807
BATTLE,3,478,27,11.182365439093484
DRIVE538,3,476,25,11.17599150141643
DRIVE757,2,448,8,11.086756373937677
BATTLE6,2,445,60,11.077195467422097
BULL4,3,432,3,11.035764872521247
DRIVE643,2,419,75,10.994334277620396
DRIVE752,1,414,97,10.978399433427763
BEST19,1,405,73,10.94971671388102
DRIVE711,2,395,18,10.917847025495751
DRIVE788,1,395,55,10.917847025495751
DRIVE727,3,389,43,10.898725212464589
DRIVE709,3,387,34,10.892351274787535
DRIVE758,1,378,62,10.863668555240793
ATM50,2,362,19,10.812677053824363
SILVER3,1,351,2,10.777620396600566
SKYDOOR48,2,349,63,10.771246458923512
SKYDOOR46,2,348,77,10.768059490084985
DRIVE749,1,344,5,10.755311614730878
BEST35,2,330,4,10.710694050991501
PEACH,2,326,71,10.697946175637394
DRIVE629,2,321,29,10.682011331444759
SILVER,2,313,56,10.656515580736544
BEST48,2,294,11,10.595963172804533
DRIVE753,2,293,42,10.592776203966006
DRIVE721,2,290,57,10.583215297450424
DRIVE741,2,285,81,10.56728045325779
DRIVE797,1,285,39,10.56728045325779
BATTLE1,1,274,53,10.532223796033994
DRIVE769,2,261,22,10.490793201133144
SILVER6,1,261,95,10.490793201133144
DRIVE722,2,258,84,10.481232294617564
BATTLE11,1,256,6,10.47485835694051
BATTLE7,2,235,50,10.407932011331445
DRIVE785,1,235,96,10.407932011331445
DRIVE657,1,220,100,10.36012747875354
SKYDOOR50,1,215,88,10.344192634560907
ATM51,2,209,21,10.325070821529746
DRIVE799,2,208,82,10.321883852691219
DRIVE784,1,196,14,10.283640226628895
BEST41,1,188,66,10.25814447592068
DRIVE695,1,185,1,10.248583569405099
PEACH8,1,180,10,10.232648725212465
BATTLE14,1,173,17,10.210339943342776
BATTLE12,1,172,86,10.207152974504249
ORANGE23,1,165,46,10.18484419263456
ORANGE14,1,163,69,10.178470254957507
DRIVE759,1,159,7,10.1657223796034
SKYDOOR45,1,159,16,10.1657223796034
DRIVE796,1,157,26,10.159348441926346
DRIVE750,1,156,54,10.156161473087819
DRIVE565,1,145,44,10.121104815864022
MAYDAY25,1,145,45,10.121104815864022
DRIVE761,1,134,37,10.086048158640226
BULL3,1,130,28,10.07330028328612
DRIVE787,1,129,33,10.070113314447593
BULL,1,127,13,10.063739376770538
SKYDOOR47,1,125,15,10.057365439093484
PEACH10,1,118,101,10.035056657223796
DRIVE755,1,117,38,10.03186968838527
FIRE1,1,111,61,10.012747875354108
DRIVE738,1,110,49,10.009560906515581
DRIVE204,1,109,32,10.006373937677054
BATTLE4,1,107,0,10.0
